"イキタイ","サ活","サウナ飯","ターゲット","市区町村","施設名","施設タイプ","住所","TEL","HP","定休日","営業時間","料金","URL","CREATE_AT"
"2940","6711","324","対象：男女","埼玉県 さいたま市","おふろcafe utatane (おふろカフェ ウタタネ)","温浴施設（スーパー銭湯・サウナ・スパ施設）","埼玉県 さいたま市 北区大成町4-179-3","048-856-9899","http://ofurocafe-utatane.com/","次回休館日\n10月休館日予定","月曜日: 10時00分～9時00分\n火曜日: 10時00分～9時00分\n水曜日: 10時00分～9時00分\n木曜日: 10時00分～9時00分\n金曜日: 10時00分～9時00分\n土曜日: 10時00分～9時00分\n日曜日: 10時00分～9時00分\n\n朝風呂は5時〜9時（最終受付8時30分）","・朝風呂 454円\n・60分 500円\n・90分 680円\n・120分 840円\n・時間制 タオルセット、館内着 別料金 各300円\n・フリータイム入館(平日) 1,260円, (土日)1,380円\n・深夜追加料金 840円 (深夜2時〜翌9時まで)\n※表示価格は全て税抜価格です\n※特別期間料金変更有\n※サウナスパ健康アドバイザー認定証提示で210円引き","https://sauna-ikitai.com/saunas/1470","2022/08/09 22:27:38"
"2797","8937","315","対象：男女","東京都 台東区","Smart Stay SHIZUKU 上野駅前","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 台東区 上野2-13-11","03-6284-4414","https://shizuku-hotel.jp/uenoekimae/","年中無休","大浴場　5:00～翌2:00 ※サウナ利用も2:00まで可能に","1時間コース：800円\n3時間コース：1,600円\n6時間コース：2,600円\n\n※延長15分：200円\n※カプセル利用：+500円\n\nR4.8.1より朝コース廃止＆料金改定","https://sauna-ikitai.com/saunas/7913","2022/08/09 22:27:41"
"2756","5311","171","対象：男女","東京都 千代田区","RAKU SPA 1010 神田","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 千代田区 神田淡路町2-9-9","03-5207-2683","http://rakuspa.com/kanda/","年中無休","月曜日: 11時00分～8時00分\n火曜日: 11時00分～8時00分\n水曜日: 11時00分～8時00分\n木曜日: 11時00分～8時00分\n金曜日: 11時00分～8時00分\n土曜日: 11時00分～8時00分\n日曜日: 11時00分～8時00分","銭湯コース (3時間, サウナ入れません)\n- 大人: 500円 (12歳以上)\n- 中人: 200円(6歳以上12歳未満)\n- 子供: 100円(6歳未満)\n\nサウナコース (3時間)\n- 990円（フェイスタオル付、バスタオル別途）\n\nRAKU SPAコース (10時間)\n- 1,790円 (平日)\n- 1,990円 (土日祝)\n\n\n深夜割増 (1:00 - 5:00)\n+1,500円\n\n延長料金\n- 30分毎に200円","https://sauna-ikitai.com/saunas/5454","2022/08/09 22:27:44"
"2734","7272","291","対象：男女","神奈川県 横浜市","ヨコヤマ・ユーランド鶴見","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 横浜市 鶴見区下末吉2-21-21","045-585-1126","http://www.yu-land.com/","毎月第2水曜日","10時00分～23時00分","一般料金\n大人(中学生以上):1210円(タオル・バスタオル、館内着付き)\n子供(4～小学生) :770円(タオル・バスタオル、館内着付き)\n幼児(3才以下) :無料(タオル・バスタオル、館内着無し)\n\n土日祝料金\n大人:1320円\n子供:880円\n幼児:無料\n\n※サウナマットは別料金200円（サウナ室内にフロアマットは敷かれているのでマット無しでも問題なし。）\n※髭剃り（二枚刃）・歯ブラシ・シャワーキャップのアメニティ類も有料となり30円","https://sauna-ikitai.com/saunas/2150","2022/08/09 22:27:47"
"2709","2397","124","対象：男女","東京都 港区","サウナ・アダムアンドイブ","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 港区 西麻布3-5-5","03-5474-4490","http://www.adamandeve.biz","-","月曜日: 24 時間営業\n火曜日: 24 時間営業\n水曜日: 24 時間営業\n木曜日: 24 時間営業\n金曜日: 24 時間営業\n土曜日: 24 時間営業\n日曜日: 24 時間営業","通常入浴料（7時間）¥3,990（午前7時～深夜12時）\n月曜日・火曜日 ¥2,940（休日・祭日を除く）\n深夜12時以降 ¥2,700（午前7時より延長料発生）\n延長料 ¥525 / 1時間","https://sauna-ikitai.com/saunas/1921","2022/08/09 22:27:52"
"2674","5418","1045","対象：男女","富山県 富山市","スパ・アルプス","温浴施設（スーパー銭湯・サウナ・スパ施設）","富山県 富山市 山室292-1","076-491-5510","http://www.sauna-alps.com/","-","月曜日: 24 時間営業\n火曜日: 24 時間営業\n水曜日: 24 時間営業\n木曜日: 24 時間営業\n金曜日: 24 時間営業\n土曜日: 24 時間営業\n日曜日: 24 時間営業","3時間1100円","https://sauna-ikitai.com/saunas/1054","2022/08/09 22:27:55"
"2660","7433","516","男性専用","福岡県 福岡市","ウェルビー福岡","温浴施設（スーパー銭湯・サウナ・スパ施設）","福岡県 福岡市 博多区祇園町8-12 ロータリー大和ビル","092-291-1009","https://www.wellbe.co.jp/fukuoka/","年中無休","サウナ／24時間営業\nカプセル／14:00〜翌日12:00","2021年12月14日料金改定\n\n平日\n90分／1500円\n3時間／2200円\nフリータイム／3000円\nナイト2時間(23:00〜3:00)／2000円\n\n土日・祝日・特定日\n90分／1800円\n3時間／2500円\nフリータイム／3300円\nナイト2時間(23:00〜3:00)／2300円\n\n\n※館内商品（レストラン・ボディケア・あかすりなど）・販売商品（グッズなど）を1,000円以上ご利用で30分延長","https://sauna-ikitai.com/saunas/3768","2022/08/09 22:27:58"
"2657","8671","484","対象：男女","東京都 杉並区","東京荻窪天然温泉 なごみの湯","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 杉並区 上荻1-10-10","03-3398-4126","http://www.nagomino-yu.com/","年中無休","10：30～翌朝9：30（最終入館受付8：30）","一般2,080円（土日祝特定日男性＋300円、女性＋200円）※2022年8月1日より値上げ\n\nヒーリングスパ平日450円（11：00～20：00に受付）、平日350円（20：00～翌朝7：00に受付）、土日祝特定日600円（時間帯制HP要確認）\n\n割引券HPに有り\n友の会プレミアム会員1,000円／友の会レギュラー会員1,550円\n\n朝風呂(5：00～8：30)\n1,270円（土日祝特定日＋200円）\n\n深夜追加料金(25：00～)+1,380円","https://sauna-ikitai.com/saunas/1765","2022/08/09 22:28:01"
"2651","3109","216","対象：男女","東京都 千代田区","SaunaLab Kanda (サウナラボ神田)","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 千代田区 神田錦町3-9 神田ポートビル 地下1F","-","http://saunalab.jp/kanda","年末年始以外は年中無休（ビルメンテナンスやイベントでお休みの日もあるが、あらかじめ予約が出来なくなっている）","〇サウナラボ(B1F) 11:00～21:00\n〇カフェスペース「KITCHEN SAUNA」(1F) 11:30〜19:30(L.O)\n\n・サウナ利用は90分制だが、館内スペースは予約時間に関わらず開館から閉館まで終日滞在可能\n\n・1Fカフェスペース、B1Fサウナマーケットはサウナ利用者でなくとも利用可能","・90分：2700円\n\n・予約優先制（サウナラボHPから予約ができます 空きがあれば予約なしでもその場で入れる）\n\n・11:00〜19:30まで30分刻みで予約枠がある 1枠につき定員2~3名","https://sauna-ikitai.com/saunas/11176","2022/08/09 22:28:04"
"2645","3918","58","対象：男女","東京都 墨田区","押上温泉 大黒湯","銭湯（公衆浴場）","東京都 墨田区 横川3-12-14","03-3622-6698","http://daikokuyu.com/","火曜日","月曜日: 15時00分～10時00分\n火曜日: 定休日\n水曜日: 15時00分～10時00分\n木曜日: 15時00分～10時00分\n金曜日: 15時00分～10時00分\n土曜日: 14時00分～10時00分\n日曜日: 13時00分～10時00分","浴室にボディソープとリンスインシャンプー設置。\nタオルは持参か、レンタル(バスタオル40円,タオル20円,まとめてレンタルすると50円)。\n\nドライヤー無料。\n2020年6月からサウナ料金値上げ\n平日 200円→300円\n土休 200円→330円\nサウナ回数券(10回分)2,500円で販売あり","https://sauna-ikitai.com/saunas/1763","2022/08/09 22:28:08"
"2587","9640","352","男性専用","東京都 港区","オアシスサウナ アスティル","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 港区 新橋3-12-3 アスティル新橋ビル 3・4F","0120-484-537","http://www.oasissauna.jp/","年中無休(年末年始は休業の場合有り)","月曜日: 正午12時00分～翌10時00分\n火曜日: 正午12時00分～翌10時00分\n水曜日: 正午12時00分～翌10時00分\n木曜日: 正午12時00分～翌10時00分\n金曜日: 正午12時00分～翌10時00分\n土曜日: 正午12時00分～翌10時00分\n日曜日: 正午12時00分～翌10時00分","スピードコース(1時間)¥1,880\nリフレッシュコース(2時間)¥2,480\nレギュラーコース(5時間)¥3,270\n※上記3コース延長料金1時間毎¥780\nフリータイムコース(閉店朝10時まで利用可)\n平日:¥4,980・土休日:¥4,480\nモーニングコース(閉店朝10時まで利用可)\n¥2,480\n\n月曜日はレギュラーコースが¥2,480\n毎日17時～21時はレギュラーコースが¥2,480","https://sauna-ikitai.com/saunas/1889","2022/08/09 22:28:11"
"2569","5007","84","対象：男女","東京都 目黒区","文化浴泉","銭湯（公衆浴場）","東京都 目黒区 東山3-6-8","03-3792-4126","https://www.bunkayokusen1010.com/blank-2","不定休","月曜日〜土曜日: 15時30分～24時\n日曜日: 8時～12時 / 15時30分～24時\n\n年末年始の営業は下記の通り\n大晦日8時〜23時までの通し営業\n元旦　8時〜13時\n2日　8時〜13時\n3日　8時〜22時\n4日から平常営業(15時30分〜翌1時)","入浴料 480円\nサウナ代(バスタオル込) 400円\n手ぶらサウナセット 980円（入浴料・サウナ・小タオル・石鹸・シャンプー・サウナ用バスタオル）\nドライヤー利用料 20円\n入浴回数券（10枚）4400円　有効期限：2022/6/30 ※一回あたり440円（通常よりトータル400円お得）\nサウナ回数券（12枚）3600円　有効期限：購入日から3ヶ月 ※一回あたり300円（通常よりトータル1200円お得）\n回数券を活用すれば740円でサウナに入れる","https://sauna-ikitai.com/saunas/4343","2022/08/09 22:28:14"
"2567","11965","576","男性専用","千葉県 船橋市","カプセルホテル&サウナ ジートピア","温浴施設（スーパー銭湯・サウナ・スパ施設）","千葉県 船橋市 本町5-18-1","047-422-4141","http://www.funabashi-sauna.com/","年中無休","月曜日: 24 時間営業\n火曜日: 24 時間営業\n水曜日: 24 時間営業\n木曜日: 24 時間営業\n金曜日: 24 時間営業\n土曜日: 24 時間営業\n日曜日: 24 時間営業","0時～24時 1,300円\n0時～24時 1,650円（5Fカプセル利用）\n深夜入浴(120分) 1.100円\nアカスリ 20分 1,650円、40分 2,200円\nマッサージ 30分 3,300円\nウィスキング　約30分（サウナ15分　水風呂＋休憩15分）6,600円　初回割引は5,500円","https://sauna-ikitai.com/saunas/1786","2022/08/09 22:28:17"
"2564","20565","2185","対象：男女","神奈川県 厚木市","湯の泉 東名厚木健康センター","温浴施設（スーパー銭湯・サウナ・スパ施設）","神奈川県 厚木市 岡田3-17-10","046-227-4126","http://www.yunoizumi.com/atsugi/","なし","24時間営業\n※清掃のため午前8：00～10：00の間は入浴不可","朝風呂タオルナシ¥650\nタオルナシ平日¥800 土日祝¥900\nタオルアリ+¥200\nタオル館内着アリ+¥500\n※他深夜入館料、深夜加算、割引等HP参照","https://sauna-ikitai.com/saunas/4355","2022/08/09 22:28:20"
"2550","7298","190","対象：男女","東京都 墨田区","サウナ錦糸町 (カプセルイン錦糸町)","温浴施設（スーパー銭湯・サウナ・スパ施設）","東京都 墨田区 錦糸2-6-3","03-3621-1919","http://capsuleinn-kinshichou.tokyo/","月曜日　休業中","現在、時短営業中\n平日　12:00~24:00\n土曜日オールナイト　8:00~ 日曜日24:00 ※男性のみ\n\n女性は　12:00~24:00 (全日)\n\n\n\n\n\n<従来の営業時間>\n24時間営業\n但し、第三月曜日は大掃除の為、12時より営業。\n女性は８時から２４時まで","男性サウナ入浴\n1時間 950円\n2時間 1,170円\n無制限 1,720円(※22時切り替え)\n深夜料金 700円(午前0時〜6時)\nお子様 無料\n(タオル、館内着、各種アメニティ込み)\n※プロ料金は上記から110円引き。\n※スタンプカードにスタンプ10個でプロ認定。\n※黒字に金色のプロサウナー認定証がもらえる。\n\n女性サウナ入浴\n3時間 1,170円\n(大バスタオル2枚、小タオル1枚付き)","https://sauna-ikitai.com/saunas/1802","2022/08/09 22:28:23"
"2522","5253","144","対象：男女","東京都 中野区","アクア東中野","銭湯（公衆浴場）","東京都 中野区 東中野4-9-22 メリーコートアクア1F","03-5330-1126","https://www.aqua-higashinakano1010.com/","月曜日 (祝日の場合は翌日が代休)","15時00分～0時00分\n※サウナは23時30分までだが、3時間までの時間制限あり。\n※露天風呂は23時まで\n※屋外プールは18時以降子供の利用は禁止","バスタオル付きで1,000円(入浴料500円＋サウナ利用料500円)。\nフェイスタオルは別途50円。","https://sauna-ikitai.com/saunas/1754","2022/08/09 22:28:26"
"2496","4836","117","対象：男女","京都府 京都市","白山湯 高辻店","銭湯（公衆浴場）","京都府 京都市 下京区舟屋町665","075-351-3648","http://hakusanyu.co.jp/","土曜日","月曜日: 15時00分～0時00分\n火曜日: 15時00分～0時00分\n水曜日: 15時00分～0時00分\n木曜日: 15時00分～0時00分\n金曜日: 15時00分～0時00分\n土曜日: 定休日\n日曜日: 7時00分～0時00分","入浴料450円(サウナも含む)","https://sauna-ikitai.com/saunas/2711","2022/08/09 22:28:29"
"2484","2971","183","対象：男女","北海道 帯広市","森のスパリゾート 北海道ホテル","ホテル・旅館","北海道 帯広市 西7条南19-1","0155-21-0001","https://www.hokkaidohotel.co.jp/stay/hotspring.html","年中無休","月曜日: 5時30分〜9時30分、14時〜24時\n火曜日: 5時30分〜9時30分、14時〜24時\n水曜日: 5時30分〜9時30分、14時〜24時\n木曜日: 5時30分〜9時30分、14時〜24時\n金曜日: 5時30分〜9時30分、14時〜24時\n土曜日: 5時30分〜9時30分、14時〜24時\n日曜日: 5時30分〜9時30分、14時〜24時\n\n日帰り入浴の受付は朝は9時まで、午後は21時まで。","●日帰り入浴\n【平日】\n大人（午後）　1,800円（税込）\n大人（朝）　　1,300円（税込）\n小学生以下　　 500円（税込）\n【土・日・祝日＆特日】\n大人（午後）　2,000円（税込）\n大人（朝）　　1,500円（税込）\n小学生以下　　 500円（税込）\n\n※バスタオル・フェイスタオルの無料レンタルあり。\n※宿泊者無料\n※回数券は10枚13,000円、5枚8,000円\n※特日：ゴールデンウィーク・お盆期間・年末年始（詳しくはホテルまでお問合せください）","https://sauna-ikitai.com/saunas/233","2022/08/09 22:28:32"
